LAMMPS data file via write_data, version 23 Jun 2022, timestep = 0

1296 atoms
3 atom types

0 22.689985001334318 xlo xhi
0 22.689985001334318 ylo yhi
-2.2283669804811876 28.5230973501592 zlo zhi

Masses

1 12.011
2 1.00784
3 16

Atoms # charge/kk

3 1 1.3113976423042888e-02 1.2597036145188945e+00 1.2605576934375662e+00 -1.6732550392612038e+00 0 0 0
4 1 -2.4180642326904109e-03 2.5206332670645315e+00 1.2605574970847340e+00 -9.9578033129317456e-01 0 0 0
7 1 1.3097216795001971e-02 1.2597036142094704e+00 6.3027765850269759e+00 -1.6732550406615914e+00 0 0 0
8 1 1.3117272201279027e-02 1.2597036142469120e+00 3.7816671390926726e+00 -1.6732550406671600e+00 0 0 0
9 1 -2.4366450295346233e-03 2.5206332671884311e+00 6.3027763844639768e+00 -9.9578033135337107e-01 0 0 0
10 1 -2.3923858753766639e-03 2.5206332674834582e+00 3.7816669408920958e+00 -9.9578033138110633e-01 0 0 0
11 1 1.3088543467314912e-02 3.7815645570891450e+00 3.7816668921500729e+00 -1.6737815775898366e+00 0 0 0
12 1 1.3129883957975619e-02 3.7815645573221448e+00 1.2605574468525165e+00 -1.6737815759791681e+00 0 0 0
13 1 -2.3417229507740550e-03 5.0426871615135012e+00 3.7816693805196318e+00 -9.9627642134319228e-01 0 0 0
14 1 -2.4861842231098138e-03 5.0426871612190993e+00 1.2605599367202596e+00 -9.9627642137464345e-01 0 0 0
15 1 1.3121491015225159e-02 6.3038798428935570e+00 1.2605542913839847e+00 -1.6733042087687311e+00 0 0 0
24 1 1.3120764550637648e-02 3.7815645570184544e+00 6.3027763378014035e+00 -1.6737815777853096e+00 0 0 0
26 1 -2.3175466236826123e-03 5.0426871612969544e+00 6.3027788240904608e+00 -9.9627642152024198e-01 0 0 0
27 1 1.3106786452043414e-02 6.3038798427641218e+00 6.3027731814271872e+00 -1.6733042107237874e+00 0 0 0
28 1 1.3101725441193103e-02 6.3038798428391756e+00 3.7816637362178889e+00 -1.6733042103111004e+00 0 0 0
166 1 3.3060896007612102e-03 1.1993950248675951e+00 2.5387732012799527e+00 8.4523987398856748e-01 0 0 0
168 1 2.9695477215189434e-03 1.2000418317523343e+00 1.2381556050319262e+00 1.7577705824924139e+00 0 0 0
171 1 3.3453128190611015e-03 2.4935374902769922e+00 1.3102986307184599e+00 2.6220504819927690e+00 0 0 0
178 1 3.1626650873119496e-03 1.2158871469044685e+00 6.2743506891860896e+00 1.7478673938631069e+00 0 0 0
179 1 3.0836041842146555e-03 1.2674897668043525e+00 3.8078635691450451e+00 1.7547455433955088e+00 0 0 0
180 1 3.2238991373192377e-03 2.5093132549827080e+00 5.0288589579835223e+00 -4.4099323951550209e-02 0 0 0
