LAMMPS data file via write_data, version 23 Jun 2022, timestep = 0

1215 atoms
3 atom types

0 22.689985001334318 xlo xhi
0 22.689985001334318 ylo yhi
-2.2283669804811876 28.5230973501592 zlo zhi

Masses

1 12.011
2 1.00784
3 16

Atoms # charge/kk

1 1 -6.9145891207347089e-06 4.7103003773506458e-14 3.7816641668889095e+00 -9.8709821544660281e-01 0 0 0
3 1 9.5226082975473131e-07 1.2605547222963647e+00 1.2605547222963660e+00 -1.6919756921307616e+00 0 0 0
4 1 -9.7704683867890304e-07 2.5211094445927471e+00 1.2605547222963107e+00 -9.8709821544657994e-01 0 0 0
6 1 -9.6061123915397488e-06 2.6901522901598306e-14 6.3027736114818795e+00 -9.8709821544664622e-01 0 0 0
7 1 1.0438231520221719e-06 1.2605547222963311e+00 6.3027736114817436e+00 -1.6919756921307127e+00 0 0 0
8 1 -2.9078526225759807e-08 1.2605547222963427e+00 3.7816641668890711e+00 -1.6919756921307523e+00 0 0 0
9 1 -3.0069575735226794e-06 2.5211094445928599e+00 6.3027736114818014e+00 -9.8709821544679388e-01 0 0 0
10 1 -2.5955283877343057e-06 2.5211094445928599e+00 3.7816641668889948e+00 -9.8709821544674115e-01 0 0 0
11 1 -2.3011464349689540e-06 3.7816641668888518e+00 3.7816641668890334e+00 -1.6919756921304714e+00 0 0 0
12 1 -3.3835179005786955e-08 3.7816641668890316e+00 1.2605547222963309e+00 -1.6919756921307396e+00 0 0 0
13 1 -4.1112161146478213e-06 5.0422188891854454e+00 3.7816641668890405e+00 -9.8709821544651644e-01 0 0 0
14 1 2.9770359511439174e-06 5.0422188891855662e+00 1.2605547222964022e+00 -9.8709821544656651e-01 0 0 0
15 1 1.4754581204601176e-06 6.3027736114816939e+00 1.2605547222963103e+00 -1.6919756921306917e+00 0 0 0
24 1 -2.2274111840519667e-06 3.7816641668888575e+00 6.3027736114817463e+00 -1.6919756921304596e+00 0 0 0
26 1 -3.3208074071243160e-06 5.0422188891854614e+00 6.3027736114817605e+00 -9.8709821544659293e-01 0 0 0
27 1 1.8777565254615768e-06 6.3027736114816495e+00 6.3027736114817428e+00 -1.6919756921304665e+00 0 0 0
28 1 4.4999567044152513e-07 6.3027736114816459e+00 3.7816641668889961e+00 -1.6919756921304845e+00 0 0 0
163 1 1.1025539212934935e-05 4.5800624640968249e-02 2.5361967568486441e+00 1.4362448450412402e-02 0 0 0
166 1 -9.7993024543405430e-06 1.2854099704583906e+00 2.5597810020482039e+00 8.9603342644578110e-01 0 0 0
167 1 1.0309849301070376e-06 8.3325443264199543e-03 8.6056991750538721e-03 -1.3596212681089258e-02 0 0 0
168 1 6.8367623161974523e-06 1.2899750789712752e+00 1.2748725562634646e+00 1.7638908178821240e+00 0 0 0
169 1 3.5408385531949925e-06 2.4743693751284233e+00 2.2680497344566291e+01 -1.0931447940261355e-02 0 -1 0
171 1 -6.4764995539244510e-06 2.5423710892935736e+00 1.2740203524165594e+00 2.6418842445196802e+00 0 0 0
173 1 7.4059255395468802e-06 2.2688310170947091e+01 7.5623291291475532e+00 1.9962787620010452e-02 -1 0 0
177 1 9.4281042897542940e-06 1.3844660930203458e-02 5.0568694909645160e+00 -8.6587407062065254e-03 0 0 0
178 1 9.9079144289646933e-06 1.2005628103350776e+00 6.3821950076715019e+00 1.7712336870609815e+00 0 0 0
179 1 5.9543745798436324e-06 1.2589844122690301e+00 3.8380254174381938e+00 1.7707250457662702e+00 0 0 0
180 1 1.2834689846029422e-05 2.5294851548142665e+00 5.0616809489821790e+00 1.2940595283883281e-02 0 0 0
181 1 -1.1004422586910906e-05 1.2332504492895986e+00 5.0860930999273073e+00 8.4368231417604977e-01 0 0 0
182 1 -2.1729287542549056e-06 2.4916055647430491e+00 6.2904259485358143e+00 2.6747738708963360e+00 0 0 0
183 1 -5.8589726812258398e-06 2.5833295641446261e+00 3.7939621346872117e+00 2.6716268993200121e+00 0 0 0
184 1 -7.2984261223637303e-06 3.7863001319330660e+00 5.0600673047454761e+00 8.6993022161811062e-01 0 0 0
185 1 2.4349484208398010e-06 2.5206694889511692e+00 2.5464813793294918e+00 3.2040707486445691e-02 0 0 0
186 1 3.6493431153035692e-06 3.8341674862097959e+00 3.7626867049009598e+00 1.8057795237895287e+00 0 0 0
187 1 2.9379465635843429e-06 3.7669876494477750e+00 1.2400471185334598e+00 1.7629436314089737e+00 0 0 0
188 1 -8.7234806743117204e-07 5.0132806622690342e+00 2.4587596354631898e+00 -1.0477381798095986e-02 0 0 0
189 1 2.5618128451406715e-06 3.7962087058094558e+00 2.4866487287219590e+00 8.5223705261799898e-01 0 0 0
190 1 -5.6835448524917064e-06 5.0978235162485905e+00 3.7788840066562712e+00 2.6322828914682606e+00 0 0 0
191 1 -3.2261059328376417e-06 5.0677634586197104e+00 1.2439938379163908e+00 2.6389621654845383e+00 0 0 0
