LAMMPS data file via write_data, version 23 Jun 2022, timestep = 0

1216 atoms
3 atom types

0 20.168875556741614 xlo xhi
0 20.168875556741614 ylo yhi
-2.2283669804811876 32.0884845189291 zlo zhi

Masses

1 12.011
2 1.00784
3 16

Atoms # charge/kk

3 1 -1.1381934886001339e-06 1.2605547222960869e+00 1.2605547222964926e+00 -1.6622109657510287e+00 0 0 0
4 1 -1.0389651456101380e-06 2.5211095793687610e+00 1.2605547222962665e+00 -9.9977552746847365e-01 0 0 0
7 1 -3.2785838911977372e-06 1.2605547222959446e+00 6.3027736114817241e+00 -1.6622109657512765e+00 0 0 0
8 1 2.0770030059897004e-06 1.2605547222959861e+00 3.7816641668888558e+00 -1.6622109657512008e+00 0 0 0
9 1 2.2402420862670493e-06 2.5211095793687335e+00 6.3027736114818298e+00 -9.9977552746831344e-01 0 0 0
10 1 -1.0906674057938975e-06 2.5211095793687255e+00 3.7816641668891768e+00 -9.9977552746834508e-01 0 0 0
11 1 -6.0351784530834600e-07 3.7816641668888700e+00 3.7816641668888744e+00 -1.6622109989478966e+00 0 0 0
12 1 -1.8857701398595565e-06 3.7816641668887696e+00 1.2605547222960569e+00 -1.6622109989479428e+00 0 0 0
13 1 -1.3857502515644676e-06 5.0422187544093546e+00 3.7816641668890236e+00 -9.9977552746835652e-01 0 0 0
14 1 8.9403922253152251e-07 5.0422187544094497e+00 1.2605547222961078e+00 -9.9977552746835463e-01 0 0 0
15 1 4.3580297718686451e-06 6.3027736114823290e+00 1.2605547222967877e+00 -1.6622109657508353e+00 0 0 0
24 1 -1.4842392064906418e-06 3.7816641668890085e+00 6.3027736114819728e+00 -1.6622109989478893e+00 0 0 0
26 1 5.1201733750971888e-06 5.0422187544094186e+00 6.3027736114819524e+00 -9.9977552746831189e-01 0 0 0
27 1 -5.1923120018511104e-07 6.3027736114822215e+00 6.3027736114814648e+00 -1.6622109657508906e+00 0 0 0
28 1 2.2372631843779482e-06 6.3027736114823147e+00 3.7816641668889446e+00 -1.6622109657508277e+00 0 0 0
130 1 -2.9542346554312250e-06 5.4610141150427366e-02 3.7844166902355489e+00 2.6377535098422502e+00 0 0 0
131 1 -2.7562915622139587e-06 4.9933920669242286e-02 1.2947004830117481e+00 2.6433636461129697e+00 0 0 0
132 1 8.7270707338189291e-07 1.2552200410943406e+00 2.4840421492400657e+00 8.4609297258256444e-01 0 0 0
134 1 8.4068438707079781e-09 1.2665639167479850e+00 1.2912108698496487e+00 1.7685952693172622e+00 0 0 0
