0 1536 0 64
1 0 1600 0 64
2 0 1600 0 64
3 0 1600 0 64
4 0 1600 0 64
5 0 1600 0 64
6 0 1600 0 64
7 0 1599 0 62
8 0 1599 0 62
9 0 1599 0 62
10 0 1599 0 62
11 0 1599 0 62
12 0 1599 0 62
13 0 1599 0 62
14 0 1599 0 62
15 0 1599 0 62
16 0 1599 0 62
17 0 1599 0 62
18 0 1599 0 62
19 0 1599 0 62
20 0 1599 0 62
21 0 1599 0 62
22 0 1599 0 62
23 0 1599 0 62
24 0 1599 0 62
25 0 1599 0 62
26 0 1599 0 62
27 0 1599 0 62
28 0 1599 0 62
29 0 1599 0 62
30 0 1599 0 62
31 0 1599 0 62
32 0 1599 0 62
33 0 1599 0 62
34 0 1599 0 62
35 0 1599 0 62
36 0 1599 0 62
37 0 1599 0 62
38 0 1599 0 62
39 0 1599 0 62
40 0 1599 0 62
41 0 1599 0 62
42 0 1599 0 62
43 0 1599 0 62
44 0 1599 0 62
45 0 1599 0 62
46 0 1599 0 62
47 0 1599 0 62
48 0 1599 0 62
49 0 1599 0 62
50 0 1599 0 62
51 0 1599 0 62
52 0 1599 0 62
53 0 1599 0 62
54 0 1599 0 62
55 0 1599 0 62
56 0 1599 0 62
57 0 1599 0 62
58 0 1599 0 62
59 0 1599 0 62
60 0 1599 0 62
61 0 1599 0 62
62 0 1599 0 62
63 0 1599 0 62
64 0 1599 0 62
65 0 1599 0 62
66 0 1599 0 62
67 0 1599 0 62
68 0 1599 0 62
69 0 1599 0 62
70 0 1599 0 62
71 0 1599 0 62
72 0 1599 0 62
73 0 1598 0 60
74 0 1598 0 60
75 0 1598 0 60
76 0 1598 0 60
77 0 1598 0 60
78 0 1598 0 60
79 0 1598 0 60
80 0 1598 0 60
81 0 1598 0 60
82 0 1597 0 58
83 0 1597 0 58
84 0 1597 0 58
85 0 1597 0 58
86 0 1597 0 58
87 0 1597 0 58
88 0 1597 0 58
89 0 1597 0 58
90 0 1597 0 58
91 0 1597 0 58
92 0 1597 0 58
93 0 1597 0 58
94 0 1597 0 58
95 0 1596 0 56
96 0 1596 0 56
97 0 1595 0 54
98 0 1595 0 54
99 0 1595 0 54
100 0 1595 0 54
101 0 1595 0 54
102 0 1595 0 54
103 0 1595 0 54
104 0 1595 0 54
105 0 1595 0 54
106 0 1595 0 54
107 0 1595 0 54
108 0 1595 0 54
109 0 1595 0 54
110 0 1595 0 54
111 0 1595 0 54
112 0 1595 0 54
113 0 1595 0 54
114 0 1595 0 54
115 0 1595 0 54
116 0 1595 0 54
117 0 1595 0 54
118 0 1595 0 54
119 0 1595 0 54
120 0 1595 0 54
121 0 1595 0 54
122 0 1595 0 54
123 0 1595 0 54
124 0 1595 0 54
125 0 1595 0 54
126 0 1595 0 54
127 0 1595 0 54
128 0 1595 0 54
129 0 1595 0 54
130 0 1595 0 54
131 0 1595 0 54
132 0 1595 0 54
133 0 1595 0 54
134 0 1595 0 54
135 0 1595 0 54
136 0 1594 0 52
137 0 1594 0 52
138 0 1594 0 52
139 0 1594 0 52
140 0 1594 0 52
141 0 1594 0 52
142 0 1594 0 52
143 0 1594 0 52
144 0 1594 0 52
145 0 1593 0 50
146 0 1593 0 50
147 0 1591 0 49
148 0 1591 0 49
149 0 1591 0 49
150 0 1591 0 49
151 0 1591 0 49
152 0 1591 0 49
153 0 1591 0 49
154 0 1591 0 49
155 0 1591 0 49
156 0 1591 0 49
157 0 1591 0 49
158 0 1591 0 49
159 0 1591 0 49
160 0 1591 0 49
161 0 1591 0 49
162 0 1591 0 49
163 0 1591 0 49
164 0 1591 0 49
165 0 1591 0 49
166 0 1591 0 49
167 0 1591 0 49
168 0 1591 0 49
169 0 1591 0 49
170 0 1591 0 49
171 0 1591 0 49
172 0 1591 0 49
173 0 1591 0 49
174 0 1591 0 49
175 0 1591 0 49
176 0 1591 0 49
177 0 1591 0 49
178 0 1591 0 49
179 0 1591 0 49
180 0 1591 0 49
181 0 1591 0 49
182 0 1591 0 49
183 0 1591 0 49
184 0 1591 0 49
185 0 1591 0 49
186 0 1591 0 49
187 0 1591 0 49
188 0 1591 0 49
189 0 1591 0 49
190 0 1590 0 47
191 0 1590 0 47
192 0 1590 0 47
193 0 1590 0 47
194 0 1590 0 47
195 0 1590 0 47
196 0 1590 0 47
197 0 1590 0 47
198 0 1590 0 47
199 0 1590 0 47
200 0 1590 0 47
201 0 1590 0 47
202 0 1590 0 47
203 0 1590 0 47
204 0 1590 0 47
205 0 1590 0 47
206 0 1589 0 45
207 0 1589 0 45
208 0 1589 0 45
209 0 1589 0 45
210 0 1589 0 45
211 0 1589 0 45
212 0 1589 0 45
213 0 1589 0 45
214 0 1589 0 45
215 0 1589 0 45
216 0 1589 0 45
217 0 1589 0 45
218 0 1589 0 45
219 0 1589 0 45
220 0 1589 0 45
221 0 1589 0 45
222 0 1589 0 45
223 0 1589 0 45
224 0 1589 0 45
225 0 1589 0 45
226 0 1589 0 45
227 0 1589 0 45
228 0 1589 0 45
229 0 1589 0 45
230 0 1589 0 45
231 0 1589 0 45
232 0 1589 0 45
233 0 1589 0 45
234 0 1589 0 45
235 0 1589 0 45
236 0 1589 0 45
237 0 1589 0 45
238 0 1589 0 45
239 0 1589 0 45
240 0 1589 0 45
241 0 1589 0 45
242 0 1589 0 45
243 0 1589 0 45
244 0 1589 0 45
245 0 1589 0 45
246 0 1589 0 45
247 0 1589 0 45
248 0 1589 0 45
249 0 1589 0 45
250 0 1589 0 45
251 0 1589 0 45
252 0 1589 0 45
253 0 1589 0 45
254 0 1589 0 45
255 0 1589 0 45
256 0 1589 0 45
257 0 1589 0 45
258 0 1589 0 45
259 0 1589 0 45
260 0 1589 0 45
261 0 1589 0 45
262 0 1589 0 45
263 0 1589 0 45
264 0 1589 0 45
265 0 1589 0 45
266 0 1589 0 45
267 0 1589 0 45
268 0 1589 0 45
269 0 1589 0 45
270 0 1589 0 45
271 0 1589 0 45
272 0 1589 0 45
273 0 1589 0 45
274 0 1589 0 45
275 0 1589 0 45
276 0 1589 0 45
277 0 1589 0 45
278 0 1589 0 45
279 0 1589 0 45
280 0 1589 0 45
281 0 1589 0 45
282 0 1589 0 45
283 0 1589 0 45
284 0 1589 0 45
285 0 1589 0 45
286 0 1589 0 45
287 0 1589 0 45
288 0 1589 0 45
289 0 1589 0 45
290 0 1589 0 45
291 0 1589 0 45
292 0 1589 0 45
293 0 1589 0 45
294 0 1589 0 45
295 0 1589 0 45
296 0 1589 0 45
297 0 1589 0 45
298 0 1589 0 45
299 0 1589 0 45
300 0 1589 0 45
301 0 1589 0 45
302 0 1589 0 45
303 0 1589 0 45
304 0 1589 0 45
305 0 1589 0 45
306 0 1589 0 45
307 0 1589 0 45
308 0 1589 0 45
309 0 1589 0 45
310 0 1589 0 45
311 0 1589 0 45
312 0 1589 0 45
313 0 1589 0 45
314 0 1589 0 45
315 0 1589 0 45
316 0 1589 0 45
317 0 1589 0 45
318 0 1589 0 45
319 0 1589 0 45
320 0 1589 0 45
320 1 1589 0 45
320 2 1589 0 46
320 3 1589 0 46
320 4 1589 0 46
320 5 1589 0 46
320 6 1589 0 47
320 7 1589 0 47
320 8 1589 0 47
320 9 1589 0 47
320 10 1589 0 47
321 0 1589 0 49
321 1 1589 0 49
321 2 1589 0 49
321 3 1589 0 50
321 4 1589 0 50
321 5 1589 0 50
321 6 1589 0 50
321 7 1589 0 51
321 8 1589 0 51
321 9 1589 0 51
321 10 1589 0 51
322 0 1589 0 53
322 1 1589 0 53
322 2 1589 0 53
322 3 1589 0 53
322 4 1589 0 53
322 5 1589 0 53
322 6 1589 0 53
322 7 1589 0 53
322 8 1589 0 54
322 9 1588 0 52
322 10 1588 0 52
323 0 1588 0 54
323 1 1588 0 55
323 2 1588 0 55
323 3 1588 0 55
323 4 1588 0 56
323 5 1587 0 54
323 6 1587 0 54
323 7 1587 0 54
323 8 1587 0 54
323 9 1587 0 54
323 10 1587 0 54
324 0 1587 0 56
324 1 1587 0 56
324 2 1587 0 56
324 3 1587 0 56
324 4 1587 0 57
324 5 1587 0 57
324 6 1587 0 57
324 7 1587 0 58
324 8 1587 0 58
324 9 1586 0 56
324 10 1586 0 56
325 0 1586 0 58
325 1 1586 0 58
325 2 1586 0 58
325 3 1586 0 59
325 4 1586 0 59
325 5 1586 0 60
325 6 1586 0 60
325 7 1586 0 60
325 8 1586 0 60
325 9 1586 0 60
325 10 1586 0 60
326 0 1585 0 60
326 1 1585 0 60
326 2 1585 0 60
326 3 1585 0 60
326 4 1585 0 60
326 5 1585 0 60
326 6 1585 0 60
326 7 1585 0 60
326 8 1585 0 60
326 9 1585 0 60
326 10 1585 0 61
327 0 1585 0 63
327 1 1585 0 63
327 2 1585 0 63
327 3 1585 0 63
327 4 1585 0 63
327 5 1585 0 63
327 6 1585 0 63
327 7 1585 0 63
327 8 1585 0 63
327 9 1585 0 63
327 10 1585 0 63
328 0 1585 0 65
328 1 1585 0 65
328 2 1585 0 65
328 3 1585 0 65
328 4 1585 0 65
328 5 1585 0 65
328 6 1585 0 65
328 7 1585 0 65
328 8 1585 0 65
328 9 1585 0 65
328 10 1585 0 65
329 0 1585 0 65
329 1 1585 0 65
329 2 1585 0 65
329 3 1585 0 65
329 4 1585 0 65
329 5 1585 0 65
329 6 1585 0 65
329 7 1585 0 65
329 8 1585 0 65
329 9 1585 0 66
329 10 1585 0 66
330 0 1584 0 66
330 1 1584 0 66
330 2 1584 0 67
330 3 1583 0 64
330 4 1583 0 64
330 5 1583 0 64
330 6 1583 0 64
330 7 1583 0 64
330 8 1583 0 64
330 9 1583 0 64
330 10 1583 0 64
331 0 1583 0 66
331 1 1583 0 66
331 2 1583 0 66
331 3 1583 0 66
331 4 1583 0 66
331 5 1583 0 67
331 6 1583 0 67
331 7 1583 0 67
331 8 1583 0 67
331 9 1583 0 67
331 10 1583 0 67
332 0 1583 0 67
332 1 1583 0 67
332 2 1583 0 67
332 3 1583 0 67
332 4 1583 0 67
332 5 1583 0 67
332 6 1583 0 68
332 7 1583 0 68
332 8 1583 0 68
332 9 1583 0 68
332 10 1583 0 68
333 0 1582 0 68
333 1 1582 0 68
333 2 1582 0 68
333 3 1582 0 68
333 4 1582 0 68
333 5 1582 0 68
333 6 1582 0 68
333 7 1582 0 68
333 8 1582 0 68
333 9 1582 0 68
333 10 1582 0 68
334 0 1581 0 68
334 1 1581 0 68
334 2 1581 0 68
334 3 1581 0 68
334 4 1581 0 68
334 5 1581 0 67
334 6 1581 0 67
334 7 1581 0 67
334 8 1581 0 67
334 9 1581 0 67
334 10 1581 0 67
335 0 1579 0 65
335 1 1579 0 65
335 2 1579 0 65
335 3 1579 0 65
335 4 1579 0 65
335 5 1579 0 65
335 6 1579 0 65
335 7 1579 0 65
335 8 1579 0 65
335 9 1579 0 65
335 10 1579 0 65
336 0 1579 0 67
336 1 1579 0 67
336 2 1579 0 67
336 3 1579 0 67
336 4 1578 0 65
336 5 1578 0 65
336 6 1578 0 65
336 7 1578 0 65
336 8 1578 0 65
336 9 1578 0 65
336 10 1578 0 65
337 0 1575 0 62
337 1 1575 0 62
337 2 1575 0 62
337 3 1575 0 62
337 4 1575 0 62
337 5 1575 0 62
337 6 1575 0 62
337 7 1575 0 62
337 8 1575 0 62
337 9 1575 0 62
337 10 1575 0 62
338 0 1575 0 64
338 1 1575 0 64
338 2 1575 0 64
338 3 1575 0 64
338 4 1575 0 64
338 5 1575 0 64
338 6 1575 0 64
338 7 1575 0 64
338 8 1575 0 64
338 9 1575 0 64
338 10 1575 0 64
339 0 1575 0 66
339 1 1575 0 66
339 2 1575 0 66
339 3 1575 0 66
339 4 1575 0 66
339 5 1575 0 66
339 6 1575 0 66
339 7 1575 0 66
339 8 1575 0 66
339 9 1575 0 66
339 10 1575 0 66
340 0 1575 0 68
340 1 1575 0 68
340 2 1575 0 68
340 3 1575 0 68
340 4 1575 0 68
340 5 1575 0 68
340 6 1575 0 68
340 7 1575 0 68
340 8 1575 0 68
340 9 1575 0 68
340 10 1575 0 68
341 0 1574 0 68
341 1 1574 0 68
341 2 1574 0 68
341 3 1574 0 68
341 4 1574 0 68
341 5 1574 0 68
341 6 1574 0 68
341 7 1574 0 68
341 8 1574 0 68
341 9 1574 0 68
341 10 1574 0 68
342 0 1573 0 67
342 1 1573 0 67
342 2 1573 0 67
342 3 1573 0 67
342 4 1573 0 67
342 5 1573 0 67
342 6 1573 0 67
342 7 1573 0 67
342 8 1573 0 67
342 9 1573 0 67
342 10 1573 0 67
343 0 1572 0 67
343 1 1572 0 67
343 2 1572 0 67
343 3 1572 0 67
343 4 1572 0 67
343 5 1572 0 67
343 6 1572 0 67
343 7 1572 0 67
343 8 1572 0 67
343 9 1572 0 67
343 10 1572 0 67
344 0 1572 0 69
344 1 1572 0 69
344 2 1572 0 69
344 3 1572 0 69
344 4 1572 0 69
344 5 1572 0 69
344 6 1572 0 69
344 7 1572 0 69
344 8 1572 0 69
344 9 1572 0 69
344 10 1572 0 69
345 0 1571 0 69
345 1 1571 0 69
345 2 1571 0 69
345 3 1571 0 69
345 4 1571 0 69
345 5 1571 0 69
345 6 1571 0 69
345 7 1571 0 69
345 8 1571 0 69
345 9 1571 0 69
345 10 1571 0 69
346 0 1571 0 71
346 1 1570 0 69
346 2 1570 0 69
346 3 1570 0 69
346 4 1570 0 69
346 5 1570 0 69
346 6 1570 0 69
346 7 1570 0 69
346 8 1570 0 69
346 9 1570 0 69
346 10 1570 0 69
347 0 1570 0 71
347 1 1570 0 71
347 2 1570 0 71
347 3 1570 0 71
347 4 1570 0 71
347 5 1570 0 71
347 6 1570 0 71
347 7 1570 0 71
347 8 1570 0 71
347 9 1570 0 71
347 10 1570 0 71
348 0 1569 0 70
348 1 1569 0 70
348 2 1569 0 70
348 3 1569 0 70
348 4 1569 0 70
348 5 1569 0 70
348 6 1569 0 70
348 7 1569 0 70
348 8 1569 0 70
348 9 1569 0 70
348 10 1569 0 70
349 0 1569 0 70
349 1 1569 0 70
349 2 1569 0 70
349 3 1569 0 70
349 4 1569 0 70
349 5 1569 0 70
349 6 1569 0 70
349 7 1569 0 70
349 8 1569 0 70
349 9 1569 0 70
349 10 1569 0 70
350 0 1569 0 70
350 1 1569 0 70
350 2 1569 0 70
350 3 1569 0 70
350 4 1569 0 70
350 5 1569 0 70
350 6 1569 0 70
350 7 1569 0 70
350 8 1569 0 70
350 9 1569 0 70
350 10 1569 0 70
351 0 1568 0 70
351 1 1568 0 70
351 2 1568 0 70
351 3 1568 0 70
351 4 1568 0 70
351 5 1568 0 70
351 6 1568 0 70
351 7 1568 0 70
351 8 1568 0 70
351 9 1568 0 70
351 10 1568 0 70
352 0 1568 0 70
352 1 1568 0 70
352 2 1568 0 71
352 3 1568 0 71
352 4 1568 0 71
352 5 1568 0 71
352 6 1568 0 71
352 7 1568 0 71
352 8 1568 0 71
352 9 1568 0 71
352 10 1568 0 71
353 0 1567 0 71
353 1 1567 0 71
353 2 1567 0 71
353 3 1567 0 71
353 4 1567 0 72
353 5 1567 0 72
353 6 1567 0 72
353 7 1567 0 72
353 8 1567 0 72
353 9 1567 0 72
353 10 1567 0 72
354 0 1567 0 74
354 1 1567 0 74
354 2 1567 0 74
354 3 1567 0 74
354 4 1567 0 74
354 5 1567 0 74
354 6 1567 0 73
354 7 1567 0 74
354 8 1567 0 74
354 9 1567 0 74
354 10 1567 0 74
355 0 1565 0 72
355 1 1565 0 72
355 2 1565 0 72
355 3 1565 0 72
355 4 1565 0 72
355 5 1565 0 72
355 6 1565 0 72
355 7 1565 0 72
355 8 1565 0 72
355 9 1565 0 72
355 10 1565 0 72
356 0 1564 0 72
356 1 1564 0 72
356 2 1564 0 72
356 3 1564 0 72
356 4 1564 0 72
356 5 1564 0 72
356 6 1564 0 72
356 7 1564 0 72
356 8 1564 0 72
356 9 1564 0 72
356 10 1564 0 72
357 0 1564 0 72
357 1 1564 0 72
357 2 1564 0 72
357 3 1564 0 72
357 4 1564 0 72
357 5 1564 0 72
357 6 1564 0 72
357 7 1564 0 72
357 8 1564 0 72
357 9 1564 0 72
357 10 1564 0 73
358 0 1562 0 68
358 1 1562 0 68
358 2 1562 0 68
358 3 1562 0 68
358 4 1562 0 68
358 5 1562 0 68
358 6 1562 0 68
358 7 1562 0 68
358 8 1562 0 68
